"Omschrijving","Vakcode","Startweek (ISO)","Startdag","Startdatum","Starttijd","Einddag","Einddatum","Eindtijd","Duur","Type","Docent(en)","Locatie(s)","Faculteit","Grootte","Opmerking 1","Opmerking 2","Concept","Deze activiteit vindt op locatie plaats","Deze activiteit vindt online plaats"
"Human-Computer Interaction (WC)","X_400432","8","ma","2023-02-20","15:30","ma","2023-02-20","17:15","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","ma","2023-02-20","15:30","ma","2023-02-20","17:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","ma","2023-02-20","15:30","ma","2023-02-20","17:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","300","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","di","2023-02-21","09:00","di","2023-02-21","10:45","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","di","2023-02-21","09:00","di","2023-02-21","10:45","1:45","Werkcollege","","NU-6A52 (28/14T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","di","2023-02-21","09:00","di","2023-02-21","10:45","1:45","Werkcollege","","NU-2B01 (20/10T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","di","2023-02-21","09:00","di","2023-02-21","10:45","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","di","2023-02-21","09:00","di","2023-02-21","10:45","1:45","Werkcollege","","NU-5A91 (34Comp/34DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","di","2023-02-21","13:30","di","2023-02-21","15:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","di","2023-02-21","13:30","di","2023-02-21","15:15","1:45","Werkcollege","","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","di","2023-02-21","13:30","di","2023-02-21","15:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","di","2023-02-21","13:30","di","2023-02-21","15:15","1:45","Werkcollege","","NU-6C33 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","8","di","2023-02-21","13:30","di","2023-02-21","15:15","1:45","Werkcollege","","HG-13A37 (24Comp)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Software Design (HC)","XB_40007","8","di","2023-02-21","15:30","di","2023-02-21","17:15","1:45","Hoorcollege","Malavolta, I.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Software Design (WC)","XB_40007","8","do","2023-02-23","11:00","do","2023-02-23","12:45","1:45","Werkcollege","Malavolta, I.","MF-FG2(250/62T), Theater3 NU-2C33(185/40T)","Faculteit der Betawetenschappen","400","See Canvas for group divisions","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","8","do","2023-02-23","13:30","do","2023-02-23","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","9","ma","2023-02-27","13:30","ma","2023-02-27","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","ma","2023-02-27","15:30","ma","2023-02-27","17:15","1:45","Werkcollege","","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","ma","2023-02-27","15:30","ma","2023-02-27","17:15","1:45","Werkcollege","","NU-4A67 (34/17T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","ma","2023-02-27","15:30","ma","2023-02-27","17:15","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","ma","2023-02-27","15:30","ma","2023-02-27","17:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","ma","2023-02-27","15:30","ma","2023-02-27","17:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","300","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","di","2023-02-28","09:00","di","2023-02-28","10:45","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","di","2023-02-28","09:00","di","2023-02-28","10:45","1:45","Werkcollege","","NU-6A52 (28/14T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","di","2023-02-28","09:00","di","2023-02-28","10:45","1:45","Werkcollege","","NU-2B01 (20/10T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","di","2023-02-28","09:00","di","2023-02-28","10:45","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","di","2023-02-28","09:00","di","2023-02-28","10:45","1:45","Werkcollege","","NU-5A91 (34Comp/34DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","di","2023-02-28","13:30","di","2023-02-28","15:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","di","2023-02-28","13:30","di","2023-02-28","15:15","1:45","Werkcollege","","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","di","2023-02-28","13:30","di","2023-02-28","15:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","di","2023-02-28","13:30","di","2023-02-28","15:15","1:45","Werkcollege","","NU-6C33 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","9","di","2023-02-28","13:30","di","2023-02-28","15:15","1:45","Werkcollege","","HG-13A37 (24Comp)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Software Design (HC)","XB_40007","9","di","2023-02-28","15:30","di","2023-02-28","17:15","1:45","Hoorcollege","Malavolta, I.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Software Design (WC)","XB_40007","9","do","2023-03-02","11:00","do","2023-03-02","12:45","1:45","Werkcollege","Malavolta, I.","MF-FG2(250/62T), Theater3 NU-2C33(185/40T)","Faculteit der Betawetenschappen","400","See Canvas for group divisions","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","10","ma","2023-03-06","13:30","ma","2023-03-06","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","ma","2023-03-06","15:30","ma","2023-03-06","17:15","1:45","Werkcollege","","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","ma","2023-03-06","15:30","ma","2023-03-06","17:15","1:45","Werkcollege","","NU-4A67 (34/17T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","ma","2023-03-06","15:30","ma","2023-03-06","17:15","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","ma","2023-03-06","15:30","ma","2023-03-06","17:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","ma","2023-03-06","15:30","ma","2023-03-06","17:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","300","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","09:00","di","2023-03-07","10:45","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","09:00","di","2023-03-07","10:45","1:45","Werkcollege","","NU-6A52 (28/14T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","09:00","di","2023-03-07","10:45","1:45","Werkcollege","","NU-2B01 (20/10T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","09:00","di","2023-03-07","10:45","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","09:00","di","2023-03-07","10:45","1:45","Werkcollege","","NU-5A91 (34Comp/34DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","13:30","di","2023-03-07","15:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","13:30","di","2023-03-07","15:15","1:45","Werkcollege","","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","13:30","di","2023-03-07","15:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","13:30","di","2023-03-07","15:15","1:45","Werkcollege","","NU-6C33 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","10","di","2023-03-07","13:30","di","2023-03-07","15:15","1:45","Werkcollege","","HG-13A37 (24Comp)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Software Design (HC)","XB_40007","10","di","2023-03-07","15:30","di","2023-03-07","17:15","1:45","Hoorcollege","Malavolta, I.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Software Design (WC)","XB_40007","10","do","2023-03-09","11:00","do","2023-03-09","12:45","1:45","Werkcollege","Malavolta, I.","MF-FG2(250/62T), Theater3 NU-2C33(185/40T)","Faculteit der Betawetenschappen","400","See Canvas for group divisions","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","10","do","2023-03-09","13:30","do","2023-03-09","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","11","ma","2023-03-13","13:30","ma","2023-03-13","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","ma","2023-03-13","15:30","ma","2023-03-13","17:15","1:45","Werkcollege","","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","ma","2023-03-13","15:30","ma","2023-03-13","17:15","1:45","Werkcollege","","NU-4A67 (34/17T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","ma","2023-03-13","15:30","ma","2023-03-13","17:15","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","ma","2023-03-13","15:30","ma","2023-03-13","17:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","ma","2023-03-13","15:30","ma","2023-03-13","17:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","300","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","09:00","di","2023-03-14","10:45","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","09:00","di","2023-03-14","10:45","1:45","Werkcollege","","NU-6A52 (28/14T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","09:00","di","2023-03-14","10:45","1:45","Werkcollege","","NU-2B01 (20/10T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","09:00","di","2023-03-14","10:45","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","09:00","di","2023-03-14","10:45","1:45","Werkcollege","","NU-5A91 (34Comp/34DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","13:30","di","2023-03-14","15:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","13:30","di","2023-03-14","15:15","1:45","Werkcollege","","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","13:30","di","2023-03-14","15:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","13:30","di","2023-03-14","15:15","1:45","Werkcollege","","NU-6C33 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","11","di","2023-03-14","13:30","di","2023-03-14","15:15","1:45","Werkcollege","","HG-13A37 (24Comp)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Software Design (HC)","XB_40007","11","di","2023-03-14","15:30","di","2023-03-14","17:15","1:45","Hoorcollege","Malavolta, I.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Software Design (WC)","XB_40007","11","do","2023-03-16","11:00","do","2023-03-16","12:45","1:45","Werkcollege","Malavolta, I.","MF-FG2(250/62T), Theater3 NU-2C33(185/40T)","Faculteit der Betawetenschappen","400","See Canvas for group divisions","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","12","ma","2023-03-20","13:30","ma","2023-03-20","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","ma","2023-03-20","15:30","ma","2023-03-20","17:15","1:45","Werkcollege","","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","ma","2023-03-20","15:30","ma","2023-03-20","17:15","1:45","Werkcollege","","NU-4A67 (34/17T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","ma","2023-03-20","15:30","ma","2023-03-20","17:15","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","ma","2023-03-20","15:30","ma","2023-03-20","17:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","ma","2023-03-20","15:30","ma","2023-03-20","17:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","300","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","09:00","di","2023-03-21","10:45","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","09:00","di","2023-03-21","10:45","1:45","Werkcollege","","NU-6A52 (28/14T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","09:00","di","2023-03-21","10:45","1:45","Werkcollege","","NU-2B01 (20/10T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","09:00","di","2023-03-21","10:45","1:45","Werkcollege","","NU-6B20 (26Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","09:00","di","2023-03-21","10:45","1:45","Werkcollege","","NU-5A91 (34Comp/34DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","13:30","di","2023-03-21","15:15","1:45","Werkcollege","Beauxis Aussalet, E.M.A.L.","NU-2B11 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","13:30","di","2023-03-21","15:15","1:45","Werkcollege","","NU-4B17 (24/12T)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","13:30","di","2023-03-21","15:15","1:45","Werkcollege","","NU-6A04 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","13:30","di","2023-03-21","15:15","1:45","Werkcollege","","NU-6C33 (24Comp/24DT)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Human-Computer Interaction (WC)","X_400432","12","di","2023-03-21","13:30","di","2023-03-21","15:15","1:45","Werkcollege","","HG-13A37 (24Comp)","Faculteit der Betawetenschappen","20","Groups via Canvas","","Nee","Ja","Nee"
"Software Design (HC)","XB_40007","12","di","2023-03-21","15:30","di","2023-03-21","17:15","1:45","Hoorcollege","Malavolta, I.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Software Design (WC)","XB_40007","12","do","2023-03-23","11:00","do","2023-03-23","12:45","1:45","Werkcollege","Malavolta, I.","MF-FG2(250/62T), Theater3 NU-2C33(185/40T)","Faculteit der Betawetenschappen","400","See Canvas for group divisions","","Nee","Ja","Nee"
"Human-Computer Interaction (HC)","X_400432","12","do","2023-03-23","13:30","do","2023-03-23","15:15","1:45","Hoorcollege","Beauxis Aussalet, E.M.A.L.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","300","","","Nee","Ja","Nee"
"Software Design (TE)","XB_40007","13","ma","2023-03-27","08:30","ma","2023-03-27","09:30","1:00","Tentamen schriftelijk","Malavolta, I.","(T) RAI blok 07 (100), (T) RAI blok 08 (100), (T) RAI blok 09 (100), (T) RAI blok 10 (100)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Human-Computer Interaction (DT)","X_400432","13","wo","2023-03-29","12:15","wo","2023-03-29","14:30","2:15","Tentamen digitaal","","(T) TenT blok 1 Blauw (102), (T) TenT blok 2 Rood (85), (T) TenT blok 4 Lime (54)","Faculteit der Betawetenschappen","240","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","14","di","2023-04-04","11:00","di","2023-04-04","12:45","1:45","Hoorcollege","Hulshof, J.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"History of Science for CS (DHT)","XB_0076","14","di","2023-04-04","18:45","di","2023-04-04","21:00","2:15","Hertentamen digitaal","Beckers, D.J.","(T) TenT blok 1 Blauw (102), (T) TenT blok 4 Lime (54)","Faculteit der Betawetenschappen","128","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","14","wo","2023-04-05","13:30","wo","2023-04-05","15:15","1:45","Werkcollege","","WN-C629(40/20T), WN-C659(40/20T), WN-F607(40/20T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","14","do","2023-04-06","11:00","do","2023-04-06","12:45","1:45","Hoorcollege","Hulshof, J.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (HC)","X_401008","14","do","2023-04-06","17:30","do","2023-04-06","19:15","1:45","Hoorcollege","Endrullis, J.","IN-0B60(550/137T)","Faculteit der Betawetenschappen","735","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","15","di","2023-04-11","09:00","di","2023-04-11","10:45","1:45","Werkcollege","Endrullis, J.","NU-3A06 (76/26T)","Faculteit der Betawetenschappen","95","AI & BA","group 1","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","15","di","2023-04-11","11:00","di","2023-04-11","12:45","1:45","Hoorcollege","Hulshof, J.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","15","wo","2023-04-12","13:30","wo","2023-04-12","15:15","1:45","Werkcollege","","WN-C629(40/20T), WN-C659(40/20T), WN-F607(40/20T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","15","do","2023-04-13","11:00","do","2023-04-13","12:45","1:45","Hoorcollege","Hulshof, J.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","15","vr","2023-04-14","09:00","vr","2023-04-14","10:45","1:45","Werkcollege","","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","15","vr","2023-04-14","11:00","vr","2023-04-14","12:45","1:45","Werkcollege","Endrullis, J.","WN-C121(86/28T)","Faculteit der Betawetenschappen","90","AI & BA","group 1","Nee","Ja","Nee"
"Databases (HC)","X_401008","15","vr","2023-04-14","13:30","vr","2023-04-14","15:15","1:45","Hoorcollege","Endrullis, J.","IN-0B60(550/137T)","Faculteit der Betawetenschappen","735","Question Hour","","Nee","Ja","Nee"
"Databases (WC)","X_401008","16","di","2023-04-18","09:00","di","2023-04-18","10:45","1:45","Werkcollege","Endrullis, J.","NU-3A06 (76/26T)","Faculteit der Betawetenschappen","95","AI & BA","group 1","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","16","di","2023-04-18","11:00","di","2023-04-18","12:45","1:45","Hoorcollege","Hulshof, J.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","16","wo","2023-04-19","13:30","wo","2023-04-19","15:15","1:45","Werkcollege","","WN-C629(40/20T), WN-C659(40/20T), WN-F607(40/20T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Linear Algebra (HC)","X_400649","16","do","2023-04-20","11:00","do","2023-04-20","12:45","1:45","Hoorcollege","Hulshof, J.","Theater1 NU-00C07(314/83T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Human-Computer Interaction (OV)","X_400432","16","do","2023-04-20","15:30","do","2023-04-20","16:30","1:00","Overig","Beauxis Aussalet, E.M.A.L.","(T) TenT blok 1 Blauw (102), (T) TenT blok 2 Rood (85), (T) TenT blok 3 Groen (96), (T) TenT blok 4 Lime (54), (T) TenT blok 5 Wit (45), (T) TenT blok 6 Oranje (48), (T) TenT blok 7 Geel (44), (T) TenT blok 8 Zwart (107)","Faculteit der Betawetenschappen","300","Inzage tentamen","","Nee","Ja","Nee"
"Linear Algebra (WC)","X_400649","16","vr","2023-04-21","09:00","vr","2023-04-21","10:45","1:45","Werkcollege","","HG-KC07(330/82T)","Faculteit der Betawetenschappen","420","","","Nee","Ja","Nee"
"Databases (WC)","X_401008","16","vr","2023-04-21","11:00","vr","2023-04-21","12:45","1:45","Werkcollege","Endrullis, J.","WN-C121(86/28T)","Faculteit der Betawetenschappen","90","AI & BA","group 1","Nee","Ja","Nee"
"Databases (HC)","X_401008","16","vr","2023-04-21","13:30","vr","2023-04-21","15:15","1:45","Hoorcollege","Endrullis, J.","IN-0B60(550/137T)","Faculteit der Betawetenschappen","735","Question Hour","","Nee","Ja","Nee"
