"Omschrijving","Vakcode","Startweek (ISO)","Startdag","Startdatum","Starttijd","Einddag","Einddatum","Eindtijd","Duur","Type","Docent(en)","Locatie(s)","Faculteit","Grootte","Opmerking 1","Opmerking 2","Concept","Deze activiteit vindt op locatie plaats","Deze activiteit vindt online plaats"
"Data Structures and Algorithms (HC)","X_400614","40","ma","2022-10-03","13:30","ma","2022-10-03","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","40","di","2022-10-04","09:00","di","2022-10-04","10:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (WC)","X_400614","40","wo","2022-10-05","11:00","wo","2022-10-05","12:45","1:45","Werkcollege","Massacci, F., Tuma, K.","WN-C659(40/20T), WN-M607 (50/25T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","500","","","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","40","do","2022-10-06","09:00","do","2022-10-06","10:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-KC159(168/42T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","40","do","2022-10-06","11:00","do","2022-10-06","12:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","40","do","2022-10-06","13:30","do","2022-10-06","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","41","ma","2022-10-10","11:00","ma","2022-10-10","12:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-Q105(208/52T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","41","ma","2022-10-10","13:30","ma","2022-10-10","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","41","di","2022-10-11","09:00","di","2022-10-11","10:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (WC)","X_400614","41","wo","2022-10-12","11:00","wo","2022-10-12","12:45","1:45","Werkcollege","Massacci, F., Tuma, K.","WN-C659(40/20T), WN-M607 (50/25T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","500","","","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","41","do","2022-10-13","09:00","do","2022-10-13","10:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-KC159(168/42T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","41","do","2022-10-13","11:00","do","2022-10-13","12:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","41","do","2022-10-13","13:30","do","2022-10-13","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","42","ma","2022-10-17","11:00","ma","2022-10-17","12:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-Q105(208/52T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","42","ma","2022-10-17","13:30","ma","2022-10-17","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","42","di","2022-10-18","09:00","di","2022-10-18","10:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (WC)","X_400614","42","wo","2022-10-19","11:00","wo","2022-10-19","12:45","1:45","Werkcollege","Massacci, F., Tuma, K.","WN-C659(40/20T), WN-M607 (50/25T), WN-M623(50/25T), WN-M639(50/25T)","Faculteit der Betawetenschappen","500","","","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","42","do","2022-10-20","09:00","do","2022-10-20","10:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-KC159(168/42T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","42","do","2022-10-20","11:00","do","2022-10-20","12:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","42","do","2022-10-20","13:30","do","2022-10-20","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Data Structures and Algorithms (DT)","X_400614","43","di","2022-10-25","08:30","di","2022-10-25","11:15","2:45","Tentamen digitaal","Massacci, F., Tuma, K.","(T) TenT blok 3 Groen (96), (T) TenT blok 4 Lime (54), (T) TenT blok 5 Wit (45), (T) TenT blok 6 Oranje (48), (T) TenT blok 7 Geel (44), (T) TenT blok 8 Zwart (107)","Faculteit der Betawetenschappen","375","","","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (DT)","XB_0019","43","do","2022-10-27","12:15","do","2022-10-27","14:30","2:15","Tentamen digitaal","Ploeg, A.J. van der","(T) TenT blok 1 Blauw (102), (T) TenT blok 2 Rood (85), (T) TenT blok 3 Groen (96), (T) TenT blok 4 Lime (54), (T) TenT blok 5 Wit (45)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","44","ma","2022-10-31","11:00","ma","2022-10-31","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","","Faculteit der Betawetenschappen","450","","Online","Nee","Nee","Nee"
"Operating Systems (PR)","X_405067","44","ma","2022-10-31","13:30","ma","2022-10-31","17:15","3:45","Practicum","Bos, H.J., Giuffrida, C.","NU-6B20 (26Comp/24DT), NU-6B37 (48Comp), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","450","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","44","di","2022-11-01","09:00","di","2022-11-01","10:45","1:45","Practicum","","HG-15A16(39/19T), NU-3A65 (40/20T), NU-6B58 (40Comp/40DT)","Faculteit der Betawetenschappen","30","Group 1","","Nee","Ja","Nee"
"Operating Systems (HC)","X_405067","44","di","2022-11-01","11:00","di","2022-11-01","12:45","1:45","Hoorcollege","Bos, H.J., Giuffrida, C.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","450","","Hybrid","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","44","di","2022-11-01","13:30","di","2022-11-01","15:15","1:45","Practicum","","HG-00B08 (42Comp)","Faculteit der Betawetenschappen","30","Group 2","","Nee","Ja","Nee"
"Statistical Methods (HC)","X_401020","44","di","2022-11-01","15:30","di","2022-11-01","17:15","1:45","Hoorcollege","Dobler, D.","WN-KC137(304/76T)","Faculteit der Betawetenschappen","390","","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","44","di","2022-11-01","17:30","di","2022-11-01","19:15","1:45","Practicum","","NU-3A57 (54/27T), NU-3A65 (40/20T)","Faculteit der Betawetenschappen","30","Group 3","","Nee","Ja","Nee"
"Operating Systems (PR)","X_405067","44","wo","2022-11-02","09:00","wo","2022-11-02","10:45","1:45","Practicum","","OZW-6B03(40/20T), OZW-6B04(43/21T)","Faculteit der Betawetenschappen","30","Group 4","","Nee","Ja","Nee"
